Haplochromis burtoni
Harmonia axyridis
Harpegnathos saltator
Helicoverpa armigera
Helicoverpa zea
Helobdella robusta
Hermetia illucens
Heterocephalus glaber
Hippocampus comes
Hippoglossus hippoglossus
Hippoglossus stenolepis
Hipposideros armiger
Hirundo rustica
Homalodisca vitripennis
Homarus americanus
Homo sapiens
Hyaena hyaena
Hyalella azteca
Hydra vulgaris
Hylobates moloch
Hypomesus transpacificus
Hyposmocoma kahamanoa
Ictalurus punctatus
Ictidomys tridecemlineatus
Ischnura elegans
Ixodes scapularis
Jaculus jaculus
Kryptolebias marmoratus
Labrus bergylta
Lacerta agilis
Lagenorhynchus obliquidens
Lagopus leucura
Lagopus muta
Larimichthys crocea
Lates calcarifer
Latimeria chalumnae
Leguminivora glycinivorella
Lemur catta
Leopardus geoffroyi
Lepeophtheirus salmonis
Lepidothrix coronata
Lepisosteus oculatus
Leptinotarsa decemlineata
Leptonychotes weddellii
Leptosomus discolor
Limulus polyphemus
Linepithema humile
Lingula anatina
Lipotes vexillifer
Loa loa
Lonchura striata domestica
Lontra canadensis
Lottia gigantea
Loxodonta africana
Lucilia cuprina
Lutra lutra
Lynx canadensis
Lynx rufus
Macaca fascicularis
Macaca mulatta
Macaca nemestrina
Manacus vitellinus
Mandrillus leucophaeus
Manduca sexta
Maniola hyperantus
Maniola jurtina
Manis javanica
Manis pentadactyla
Marmota flaviventris
Marmota marmota marmota
Marmota monax
Mastacembelus armatus
Mastomys coucha
Mauremys mutica
Mauremys reevesii
Maylandia zebra
Megachile rotundata
Megalobrama amblycephala
Megalops cyprinoides
Megalopta genalis
Melanaphis sacchari
Melanotaenia boesemani
Meleagris gallopavo
Meles meles
Melitaea cinxia
Melopsittacus undulatus
Meriones unguiculatus
Merops nubicus
Mesitornis unicolor
Mesocricetus auratus
Microcaecilia unicolor
Microcebus murinus
Micropterus dolomieu
Micropterus salmoides
Microtus fortis
Microtus ochrogaster
Miniopterus natalensis
Mirounga angustirostris
Mirounga leonina
Mizuhopecten yessoensis
Molossus molossus
Molothrus ater
Monodelphis domestica
Monodon monoceros
Monomorium pharaonis
Monopterus albus
Morone saxatilis
Motacilla alba alba
Mugil cephalus
Mus caroli
Mus musculus
Mus pahari
Musca domestica
Mustela erminea
Myiozetetes cayanensis
Myodes glareolus
Myotis brandtii
Myotis davidii
Myotis lucifugus
Myotis myotis
Myripristis murdjan
Myzus persicae
Nannospalax galili
Nanorana parkeri
Nasonia vitripennis
Necator americanus
Nematolebias whitei
Nematostella vectensis
Neodiprion fabricii
Neodiprion lecontei
Neodiprion pinetum
Neodiprion virginianus
Neogale vison
Neolamprologus brichardi
Neomonachus schauinslandi
Neopelma chrysocephalum
Neophocaena asiaeorientalis asiaeorientalis
Neosciurus carolinensis
Nestor notabilis
Nicrophorus vespilloides
Nilaparvata lugens
Nipponia nippon
Nomascus leucogenys
Nomia melanderi
Notechis scutatus
Nothobranchius furzeri
Nothoprocta perdicaria
Notolabrus celidotus
Notothenia coriiceps
Numida meleagris
Nylanderia fulva
Nymphalis io
Ochotona curzoniae
Ochotona princeps
Octodon degus
Octopus bimaculoides
Octopus sinensis
Odobenus rosmarus divergens
Odocoileus virginianus texanus
Odontomachus brunneus
Oncorhynchus gorbuscha
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus nerka
Oncorhynchus tshawytscha
Onthophagus taurus
Onychomys torridus
Onychostruthus taczanowskii
Ooceraea biroi
Opisthocomus hoazin
Orbicella faveolata
Orcinus orca
Oreochromis aureus
Oreochromis niloticus
Ornithorhynchus anatinus
Orussus abietinus
Orycteropus afer afer
Oryx dammah
Oryzias latipes
Oryzias melastigma
Osmia bicornis bicornis
Ostrea edulis
Otolemur garnettii
Ovis aries
Oxyura jamaicensis
Pan paniscus
Pan troglodytes
Panthera leo
Panthera pardus
Panthera tigris
Panthera uncia
Pantherophis guttatus
Papilio machaon
Papilio polytes
Papilio xuthus
Papio anubis
Paralichthys olivaceus
Parambassis ranga
Paramormyrops kingsleyae
Pararge aegeria
Parasteatoda tepidariorum
Parus major
Passer montanus
Patella vulgata
Pecten maximus
Pectinophora gossypiella
Pelecanus crispus
Pelodiscus sinensis
Penaeus chinensis
Penaeus japonicus
Penaeus monodon
Perca flavescens
Perca fluviatilis
Periophthalmus magnuspinnatus
Perognathus longimembris pacificus
Peromyscus leucopus
Peromyscus maniculatus bairdii
Petromyzon marinus
Phacochoerus africanus
Phaethon lepturus
Phalacrocorax carbo
Phasianus colchicus
Phoca vitulina
Phocoena sinus
Photinus pyralis
Phyllostomus discolor
Phyllostomus hastatus
Pieris brassicae
Pieris napi
Pieris rapae
Piliocolobus tephrosceles
Pimephales promelas
Pipistrellus kuhlii
Pipra filicauda
Plectropomus leopardus
Plutella xylostella
Pocillopora damicornis
Podarcis muralis
Poecilia formosa
Poecilia latipinna
Poecilia mexicana
Poecilia reticulata
Pogona vitticeps
Pogonomyrmex barbatus
Polistes canadensis
Polistes dominula
Polistes fuscatus
Pollicipes pollicipes
Polyodon spathula
Polypterus senegalus
Pomacea canaliculata
Pongo abelii
Portunus trituberculatus
Priapulus caudatus
Prionailurus bengalensis
Prionailurus viverrinus
Procambarus clarkii
Propithecus coquereli
Protobothrops mucrosquamatus
Protopterus annectens
Pseudochaenichthys georgianus
Pseudomyrmex gracilis
Pseudonaja textilis
Pseudopodoces humilis
Pterocles gutturalis
Pteropus alecto
Pteropus giganteus
Pteropus vampyrus
Puma concolor
Puma yagouaroundi
Pundamilia nyererei
Pungitius pungitius
Puntigrus tetrazona
Pygocentrus nattereri
Pygoscelis adeliae
Pyrgilauda ruficollis
Python bivittatus
Rana temporaria
Rattus norvegicus
Rattus rattus
Rhagoletis pomonella
Rhagoletis zephyria
Rhinatrema bivittatum
Rhincodon typus
Rhinolophus ferrumequinum
Rhinopithecus bieti
Rhinopithecus roxellana
Rhipicephalus microplus
Rhipicephalus sanguineus
Rhopalosiphum maidis
Rousettus aegyptiacus
Saimiri boliviensis boliviensis
Salarias fasciatus
Salmo salar
Salmo trutta
Salvelinus namaycush
Salvelinus sp. IW2-2015
Sander lucioperca
Sapajus apella
Sarcophilus harrisii
Scatophagus argus
Sceloporus undulatus
Schistocerca americana
Schistocerca cancellata
Schistocerca gregaria
Schistocerca nitens
Schistocerca piceifrons
Schistocerca serialis cubense
Scleropages formosus
Scophthalmus maximus
Scyliorhinus canicula
Sebastes umbrosus
Seriola dumerili
Seriola lalandi dorsalis
Silurus meridionalis
Simochromis diagramma
Siniperca chuatsi
Sinocyclocheilus anshuiensis
Sinocyclocheilus grahami
Sinocyclocheilus rhinocerous
Sipha flava
Sitophilus oryzae
Solea senegalensis
Solenopsis invicta
Sorex araneus
Sparus aurata
Sphaeramia orbicularis
Sphaerodactylus townsendi
Spodoptera frugiperda
Spodoptera litura
Stegastes partitus
Stegodyphus dumicola
Stegostoma fasciatum
Stomoxys calcitrans
Strigops habroptila
Strongyloides ratti
Struthio camelus australis
Sturnira hondurensis
Sturnus vulgaris
Styela clava
Stylophora pistillata
Suncus etruscus
Suricata suricatta
Sus scrofa
Syngnathus acus
Syngnathus scovelli
Tachyglossus aculeatus
Tachysurus fulvidraco
Taeniopygia guttata
Takifugu rubripes
Talpa occidentalis
Tauraco erythrolophus
Teleopsis dalmanni
Temnothorax curvispinosus
Terrapene carolina triunguis
Tetranychus urticae
Thalassophryne amazonica
Thamnophis elegans
Thamnophis sirtalis
Theropithecus gelada
Thrips palmi
Thunnus albacares
Thunnus maccoyii
Tinamus guttatus
Toxotes jaculatrix
Trachemys scripta elegans
Trachymyrmex cornetzi
Trachymyrmex septentrionalis
Trachymyrmex zeteki
Trachypithecus francoisi
Trematomus bernacchii
Tribolium castaneum
Tribolium madens
Trichechus manatus latirostris
Trichogramma pretiosum
Trichoplusia ni
Trichosurus vulpecula
Tupaia chinensis
Tursiops truncatus
Tyto alba
Urocitellus parryii
Ursus arctos
Ursus maritimus
Vanessa atalanta
Vanessa cardui
Vanessa tameamea
Varanus komodoensis
Varroa destructor
Varroa jacobsoni
Venturia canescens
Vespa crabro
Vespa velutina
Vespula pensylvanica
Vicugna pacos
Vollenhovia emeryi
Vombatus ursinus
Vulpes lagopus
Vulpes vulpes
Wasmannia auropunctata
Xenia sp. Carnegie-2017
Xenopus laevis
Xenopus tropicalis
Xiphias gladius
Xiphophorus couchianus
Xiphophorus hellerii
Xiphophorus maculatus
Zalophus californianus
Zerene cesonia
Zeugodacus cucurbitae
Zonotrichia albicollis
Zootermopsis nevadensis
Zootoca vivipara
