Echinodermata	Crinoidea	Comatulida	Comatulidae	Anneissia	Anneissia japonica
Arthropoda	Insecta	Orthoptera	Acrididae	Schistocerca	Schistocerca nitens
Arthropoda	Insecta	Orthoptera	Acrididae	Schistocerca	Schistocerca gregaria
Arthropoda	Insecta	Orthoptera	Acrididae	Schistocerca	Schistocerca americana
Arthropoda	Insecta	Coleoptera	Buprestidae	Agrilus	Agrilus planipennis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Anoplophora	Anoplophora glabripennis
Arthropoda	Insecta	Coleoptera	Scarabaeidae	Onthophagus	Onthophagus taurus
Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida
Arthropoda	Insecta	Coleoptera	Silphidae	Nicrophorus	Nicrophorus vespilloides
Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis
Arthropoda	Insecta	Coleoptera	Coccinellidae	Harmonia	Harmonia axyridis
Arthropoda	Insecta	Coleoptera	Coccinellidae	Coccinella	Coccinella septempunctata
Arthropoda	Insecta	Coleoptera	Chrysomelidae	Diabrotica	Diabrotica virgifera	Diabrotica virgifera virgifera
Arthropoda	Insecta	Coleoptera	Chrysomelidae	Leptinotarsa	Leptinotarsa decemlineata
Arthropoda	Insecta	Coleoptera	Tenebrionidae	Tribolium	Tribolium madens
Arthropoda	Insecta	Coleoptera	Tenebrionidae	Tribolium	Tribolium castaneum
Arthropoda	Insecta	Coleoptera	Curculionidae	Anthonomus	Anthonomus grandis	Anthonomus grandis grandis
Arthropoda	Insecta	Coleoptera	Curculionidae	Dendroctonus	Dendroctonus ponderosae
Arthropoda	Insecta	Coleoptera	Curculionidae	Sitophilus	Sitophilus oryzae
Arthropoda	Insecta	Hemiptera	Pentatomidae	Halyomorpha	Halyomorpha halys
Arthropoda	Insecta	Hemiptera	Cicadellidae	Homalodisca	Homalodisca vitripennis
Arthropoda	Insecta	Hemiptera	Adelgidae	Adelges	Adelges cooleyi
Arthropoda	Insecta	Hemiptera	Psyllidae	Diaphorina	Diaphorina citri
Arthropoda	Insecta	Hemiptera	Delphacidae	Nilaparvata	Nilaparvata lugens
Arthropoda	Insecta	Hemiptera	Cimicidae	Cimex	Cimex lectularius
Arthropoda	Insecta	Hemiptera	Phylloxeridae	Daktulosphaira	Daktulosphaira vitifoliae
Arthropoda	Insecta	Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci
