Pollicipes pollicipes	41117	4
Chelmon rostratus	109905	4
Poecilia reticulata	8081	4
Chiloscyllium plagiosum	36176	4
Sus scrofa	9823	4
Syngnathus acus	161584	4
Agrilus planipennis	224129	4
Pocillopora damicornis	46731	4
Electrophorus electricus	8005	4
Carcharodon carcharias	13397	4
Callorhinchus milii	7868	4
Astatotilapia calliptera	8154	4
Hippocampus comes	109280	4
Syngnathus scovelli	161590	4
Haplochromis burtoni	8153	4
Phacochoerus africanus	41426	4
Pygocentrus nattereri	42514	4
Exaiptasia diaphana	2652724	4
Nematolebias whitei	451745	4
Suricata suricatta	37032	3
Stylophora pistillata	50429	3
Mesocricetus auratus	10036	3
Meriones unguiculatus	10047	3
Mastomys coucha	35658	3
Mauremys mutica	74926	3
Suncus etruscus	109475	3
Meles meles	9662	3
Mauremys reevesii	260615	3
Miniopterus natalensis	291302	3
Tachyglossus aculeatus	9261	3
Microtus fortis	100897	3
Microtus ochrogaster	79684	3
Theropithecus gelada	9565	3
Mirounga leonina	9715	3
Takifugu rubripes	31033	3
Mirounga angustirostris	9716	3
Microcebus murinus	30608	3
Pongo abelii	9601	3
Trachypithecus francoisi	54180	3
Latimeria chalumnae	7897	3
Lipotes vexillifer	118797	3
Ursus arctos	9644	3
Lepisosteus oculatus	7918	3
Ursus maritimus	29073	3
Varanus komodoensis	61221	3
Leopardus geoffroyi	46844	3
Lemur catta	9447	3
Vicugna pacos	30538	3
Urocitellus parryii	9999	3
Lagenorhynchus obliquidens	90247	3
Lacerta agilis	80427	3
Vombatus ursinus	29139	3
Vulpes lagopus	494514	3
Vulpes vulpes	9627	3
Jaculus jaculus	51337	3
Zalophus californianus	9704	3
Lontra canadensis	76717	3
Loxodonta africana	9785	3
Trichechus manatus latirostris	9778	3
Manis javanica	9974	3
Marmota monax	9995	3
Marmota marmota marmota	9993	3
Trichosurus vulpecula	9337	3
Tupaia chinensis	246437	3
Monodelphis domestica	13616	3
Marmota flaviventris	93162	3
Manis pentadactyla	143292	3
Manduca sexta	7130	3
Lutra lutra	9657	3
Mandrillus leucophaeus	9568	3
Macaca nemestrina	9545	3
Macaca mulatta	9544	3
Macaca fascicularis	9541	3
Lynx rufus	61384	3
Lynx canadensis	61383	3
Tursiops truncatus	9739	3
Molossus molossus	27622	3
Neodiprion fabricii	2872261	3
Sturnira hondurensis	192404	3
Parasteatoda tepidariorum	114398	3
Peromyscus leucopus	10041	3
Perognathus longimembris pacificus	38669	3
Ischnura elegans	197161	3
Python bivittatus	176946	3
Rana temporaria	8407	3
Rattus norvegicus	10116	3
Rattus rattus	10117	3
Rhinolophus ferrumequinum	59479	3
Rhipicephalus sanguineus	34632	3
Rhinopithecus bieti	61621	3
Pantherophis guttatus	94885	3
Panthera uncia	29064	3
Panthera tigris	9694	3
Panthera pardus	9691	3
Panthera leo	9689	3
Pan troglodytes	9598	3
Peromyscus maniculatus bairdii	10042	3
Pundamilia nyererei	303518	3
Puma yagouaroundi	1608482	3
Phoca vitulina	9720	3
Prionailurus viverrinus	61388	3
Propithecus coquereli	379532	3
Protobothrops mucrosquamatus	103944	3
Pseudonaja textilis	8673	3
Pteropus alecto	9402	3
Pogona vitticeps	103695	3
Pteropus giganteus	143291	3
Pteropus vampyrus	132908	3
Puma concolor	9696	3
Podarcis muralis	64176	3
Pipistrellus kuhlii	59472	3
Piliocolobus tephrosceles	591936	3
Phyllostomus hastatus	9423	3
Phyllostomus discolor	89673	3
Phocoena sinus	42100	3
Rhinopithecus roxellana	61622	3
Rousettus aegyptiacus	9407	3
Stomoxys calcitrans	35570	3
Myotis myotis	51298	3
Neodiprion pinetum	441929	3
Neodiprion lecontei	441921	3
Prionailurus bengalensis	37029	3
Nematostella vectensis	45351	3
Nanorana parkeri	125878	3
Nannospalax galili	1026970	3
Sitophilus oryzae	7048	3
Myotis davidii	225400	3
Orycteropus afer afer	9818	3
Myotis brandtii	109478	3
Myodes glareolus	447135	3
Mustela erminea	36723	3
Mus pahari	10093	3
Mus musculus	10090	3
Mus caroli	10089	3
Sorex araneus	42254	3
Neodiprion virginianus	2961670	3
Neogale vison	452646	3
Neomonachus schauinslandi	29088	3
Neophocaena asiaeorientalis asiaeorientalis	189058	3
Ornithorhynchus anatinus	9258	3
Saimiri boliviensis boliviensis	27679	3
Orcinus orca	9733	3
Onychomys torridus	38674	3
Sapajus apella	9515	3
Sarcophilus harrisii	9305	3
Sceloporus undulatus	8520	3
Odobenus rosmarus divergens	9707	3
Octodon degus	10160	3
Ochotona princeps	9978	3
Ochotona curzoniae	130825	3
Notothenia coriiceps	8208	3
Notechis scutatus	8663	3
Nomascus leucogenys	61853	3
Neosciurus carolinensis	30640	3
Ixodes scapularis	6945	3
Zootoca vivipara	8524	3
Ictidomys tridecemlineatus	43179	3
Gopherus evgoodei	1825980	3
Carlito syrichta	1868482	3
Daphnia pulex	6669	3
Daphnia magna	35525	3
Castor canadensis	51338	3
Diprion similis	362088	3
Echinops telfairi	9371	3
Cavia porcellus	10141	3
Fukomys damarensis	885580	3
Cebus imitator	2715852	3
Arvicanthis niloticus	61156	3
Centruroides sculpturatus	218467	3
Condylura cristata	143302	3
Arvicola amphibius	1047088	3
Dromiciops gliroides	33562	3
Bufo gargarizans	30331	3
Ctenocephalides felis	7515	3
Globicephala melas	9731	3
Canis lupus familiaris	9612	3
Canis lupus dingo	9612	3
Folsomia candida	158441	3
Erinaceus europaeus	9365	3
Callorhinus ursinus	34884	3
Equus asinus	9793	3
Equus caballus	9796	3
Elephas maximus indicus	9783	3
Equus przewalskii	9798	3
Desmodus rotundus	9430	3
Equus quagga	89248	3
Dermatophagoides pteronyssinus	6956	3
Dipodomys ordii	10020	3
Eumetopias jubatus	34886	3
Callithrix jacchus	9483	3
Elephantulus edwardii	28737	3
Camelus dromedarius	9838	3
Camelus ferus	419612	3
Aotus nancymaae	37293	3
Felis catus	9685	3
Enhydra lutris kenyoni	34882	3
Ceratotherium simum simum	9807	3
Cercocebus atys	9531	3
Balaenoptera acutorostrata scammoni	9767	3
